,,,Not attended in past 2 weeks,,,,,,,,,,,,
Home AO or Visitor,Name,BD Count ,First BD,Last BD,Consistency,Listing,Cindy,Mug,Shirt,Cindy,,Mug,,Shirt,
,Frog Legs,1,4/25/2025,4/25/2025,1%,1,,,,,,,,,
,Floater,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Eskimo,1,2/26/2026,2/26/2026,50%,1,,,,,,,,,
,Emptynest,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,eBay,1,12/21/2024,12/21/2024,0%,1,,,,,,,,,
,Dunkin,1,5/31/2025,5/31/2025,1%,1,,,,,,,,,
,Dumbo,1,12/19/2024,12/19/2024,0%,1,,,,,,,,,
,Drano,1,9/3/2024,9/3/2024,0%,1,,,,,,,,,
,Dr. Phil,1,12/12/2025,12/12/2025,2%,1,,,,,,,,,
,Dr Giggles,1,10/25/2025,10/25/2025,1%,1,,,,,,,,,
,Dozer NorthKT,1,2/19/2026,2/19/2026,17%,1,,,,,,,,,
,Don Flamenco,1,11/28/2024,11/28/2024,0%,1,,,,,,,,,
,Doctor Strange,1,9/12/2024,9/12/2024,0%,1,,,,,,,,,
,Do Over,1,11/14/2024,11/14/2024,0%,1,,,,,,,,,
,DIY,1,9/17/2024,9/17/2024,0%,1,,,,,,,,,
,Data 2.0,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Crossbar,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Constructor,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
